127.0.0.1, 2018-03-29 18:41:36, GET, /, HTTP/1.1, 303, 0.002234
127.0.0.1, 2018-03-29 18:41:38, GET, /welcome/default/index, HTTP/1.1, 200, 1.969701
127.0.0.1, 2018-03-29 18:41:38, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001538
127.0.0.1, 2018-03-29 18:41:38, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001123
127.0.0.1, 2018-03-29 18:41:38, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001181
127.0.0.1, 2018-03-29 18:41:38, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001179
127.0.0.1, 2018-03-29 18:41:38, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001448
127.0.0.1, 2018-03-29 18:41:38, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001160
127.0.0.1, 2018-03-29 18:41:38, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001150
127.0.0.1, 2018-03-29 18:41:38, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002360
127.0.0.1, 2018-03-29 18:41:38, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002563
127.0.0.1, 2018-03-29 18:41:38, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001172
127.0.0.1, 2018-03-29 18:41:40, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.004277
127.0.0.1, 2018-03-29 18:41:40, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.003541
127.0.0.1, 2018-03-29 18:41:40, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.008850
127.0.0.1, 2018-03-29 18:41:40, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001272
127.0.0.1, 2018-03-29 18:41:50, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.071632
127.0.0.1, 2018-03-29 18:41:55, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.063437
127.0.0.1, 2018-03-29 18:41:57, GET, /welcome/default/index, HTTP/1.1, 200, 0.063569
127.0.0.1, 2018-03-29 18:42:00, GET, /welcome/default/wiki, HTTP/1.1, 200, 0.553916
127.0.0.1, 2018-03-29 18:42:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.062037
127.0.0.1, 2018-03-29 18:44:01, GET, /admin/default/index, HTTP/1.1, 200, 0.378807
127.0.0.1, 2018-03-29 18:44:02, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.001259
127.0.0.1, 2018-03-29 18:44:02, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.001197
127.0.0.1, 2018-03-29 18:44:02, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.001092
127.0.0.1, 2018-03-29 18:44:02, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001191
127.0.0.1, 2018-03-29 18:44:02, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001925
127.0.0.1, 2018-03-29 18:44:02, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.001229
127.0.0.1, 2018-03-29 18:44:02, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.005832
127.0.0.1, 2018-03-29 18:44:02, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001912
127.0.0.1, 2018-03-29 18:44:02, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.002749
127.0.0.1, 2018-03-29 18:44:02, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001132
127.0.0.1, 2018-03-29 18:44:02, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.001214
127.0.0.1, 2018-03-29 18:44:02, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001215
127.0.0.1, 2018-03-29 18:44:02, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001095
127.0.0.1, 2018-03-29 18:44:02, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.001203
127.0.0.1, 2018-03-29 18:44:03, GET, /favicon.ico, HTTP/1.1, 400, 0.001433
127.0.0.1, 2018-03-29 18:44:05, POST, /admin/default/index, HTTP/1.1, 303, 0.027725
127.0.0.1, 2018-03-29 18:44:06, GET, /admin/default/site, HTTP/1.1, 200, 0.127484
127.0.0.1, 2018-03-29 18:44:06, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.000976
127.0.0.1, 2018-03-29 18:44:06, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.001038
127.0.0.1, 2018-03-29 18:44:06, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001135
127.0.0.1, 2018-03-29 18:44:07, POST, /admin/default/check_version, HTTP/1.1, 200, 0.636399
127.0.0.1, 2018-03-29 18:44:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000962
127.0.0.1, 2018-03-29 18:44:11, GET, /admin/default/uninstall/examples, HTTP/1.1, 200, 0.086558
127.0.0.1, 2018-03-29 18:44:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000763
127.0.0.1, 2018-03-29 18:44:14, POST, /admin/default/uninstall/examples, HTTP/1.1, 303, 0.461396
127.0.0.1, 2018-03-29 18:44:14, GET, /admin/default/site, HTTP/1.1, 200, 0.075539
127.0.0.1, 2018-03-29 18:44:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000746
127.0.0.1, 2018-03-29 18:44:18, GET, /admin/default/uninstall/welcome, HTTP/1.1, 200, 0.039659
127.0.0.1, 2018-03-29 18:44:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000633
127.0.0.1, 2018-03-29 18:44:20, POST, /admin/default/uninstall/welcome, HTTP/1.1, 303, 0.356869
127.0.0.1, 2018-03-29 18:44:20, GET, /admin/default/site, HTTP/1.1, 200, 0.065298
127.0.0.1, 2018-03-29 18:44:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000802
127.0.0.1, 2018-03-29 18:44:32, POST, /admin/default/site, HTTP/1.1, 303, 0.126921
127.0.0.1, 2018-03-29 18:44:32, GET, /admin/default/design/datamark, HTTP/1.1, 200, 0.508833
127.0.0.1, 2018-03-29 18:44:32, GET, /admin/static/_2.16.1/images/search.png, HTTP/1.1, 200, 0.001009
127.0.0.1, 2018-03-29 18:44:32, GET, /admin/static/_2.16.1/images/help.png, HTTP/1.1, 200, 0.001060
127.0.0.1, 2018-03-29 18:44:32, GET, /admin/static/_2.16.1/images/delete_icon.png, HTTP/1.1, 200, 0.001237
127.0.0.1, 2018-03-29 18:44:32, GET, /admin/static/_2.16.1/images/test_icon.png, HTTP/1.1, 200, 0.001132
127.0.0.1, 2018-03-29 18:44:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000578
127.0.0.1, 2018-03-29 18:47:27, GET, /admin/default/design/datamark, HTTP/1.1, 200, 0.287477
127.0.0.1, 2018-03-30 17:59:58, GET, /, HTTP/1.1, 200, 1.344866
127.0.0.1, 2018-03-30 17:59:58, GET, /datamark/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001556
127.0.0.1, 2018-03-30 17:59:58, GET, /datamark/static/css/calendar.css, HTTP/1.1, 200, 0.001397
127.0.0.1, 2018-03-30 17:59:58, GET, /datamark/static/js/calendar.js, HTTP/1.1, 200, 0.001492
